Rank,Town,"Percapitaincome(2010-2015)",Percapitaincome(2000),Percapitaincome2000-2010/15Change%,"Medianhouseholdincome(2010-2015)",Medianhouseholdincome(2000),Medianhouseholdincome2000-2010/15Change%,"Medianfamilyincome(2010-2015)",Medianfamilyincome(2000),Medianfamilyincome2000-2010/15Change%,Population(current),Population(2005),Population2005-2016Change%,"Numberofhouseholds(2010-2015)","Numberofhouseholds(2000)",Numberofhouseholds2000-2010/16Change%,SquareMiles,PopulationDensity,AverageAge,CurrentPPE,MillRate,NetMunicipalGrandList2016-17,NetMunicipalGrandList2004-05,NetMunicipalGrandList2004/5-2016/17Increase%,GrandListPerHousehold2016-2017,GrandListPerHousehold2004-05,ChangeinGrandListperHousehold2004/5-2016/17,ofBudgetSpentonEducation2017-2018,ZillowHomeValueIndex,2005MedianHomeValue,"MedianHomeValue,Now/ish(https://www.neighborhoodscout.com/ct/avon/real-estate)",ChangeinMedianHomeValue(2005-nowish),%of11th/12thGradersMeetingCollegeReadinessExam,TotalExpenditure05-06,TotalExpenditure15-16,PercentChangeinExpenditure05-16,CollegeEntrancePercentage(2013-14),CollegeEntrancePercentage(2006-07),PercentChangeinCollegeEntrancePercentage,YearoveryearchangeinZHVI,MonthovermonthchangeinZHVI,PublicSafetyBudget,PublicSafetyPerCapita
1.00,Avon,116048.00,51706.00,124.44,169375.00,90934.00,86.26,208125.00,109161.00,90.66,22290.00,17209.00,29.53,7318.00,6176.00,18.49,23.12,964.10,42.20,16218.00,30.59,2577798250.00,2083803895.00,23.71,352254.48,337403.48,4.40,64.12,344200.00,383600.00,366413.00,-4.48,77.70,36286680.00,54363881.00,0.50,88.20,82.00,10912556293.02,-0.30,-0.60,10326376.00,463.27
9.00,Brookfield,58715.00,37063.00,58.42,119370.00,82706.00,44.33,136682.00,76756.00,78.07,17550.00,16354.00,7.31,6872.00,5587.00,23.00,19.80,886.36,39.10,14994.00,27.29,2240023646.00,1627118350.00,37.67,325963.86,291232.92,11.93,63.06,335500.00,409300.00,397059.00,-2.99,65.80,33240576.00,40844478.00,0.23,85.50,85.30,17855227060.20,0.60,-0.60,4926481.00,280.71
3.00,Darien,105846.00,77519.00,36.54,208906.00,146755.00,42.35,343456.00,173777.00,97.64,20732.00,20452.00,1.37,6555.00,6624.00,-1.04,12.86,1612.13,38.00,19727.00,16.16,8356198215.00,6224291311.00,34.25,1274782.34,939657.50,35.66,65.98,1387500.00,1170200.00,1297622.00,10.89,88.10,59121385.00,96071205.00,0.62,89.30,78.00,15371827687.57,8.60,0.20,9716804.00,468.69
19.00,Fairfield,60155.00,43670.00,37.75,122306.00,83512.00,46.45,152760.00,100920.00,51.37,59404.00,57813.00,2.75,20233.00,20428.00,-0.95,30.03,1978.16,39.90,17063.00,25.85,10975624915.00,7233062136.00,51.74,542461.57,354075.88,53.20,56.50,525800.00,536400.00,645006.00,20.25,69.60,126839625.00,173579658.00,0.37,82.40,79.50,47104756390.75,14.80,0.00,31971401.00,538.20
26.00,Farmington,52341.00,39102.00,33.86,91712.00,67073.00,36.73,120026.00,85396.00,40.55,25340.00,24941.00,1.60,10343.00,9476.00,9.15,28.06,903.06,41.40,16613.00,26.68,3532450005.00,2639785116.00,33.82,341530.50,278575.89,22.60,62.00,283800.00,295700.00,343657.00,16.22,69.00,46653407.00,68344443.00,0.46,85.40,84.00,14699625660.00,2.20,0.30,9804839.00,386.93
10.00,Glastonbury,57709.00,40820.00,41.37,109018.00,80660.00,35.16,129648.00,94978.00,36.50,34427.00,33089.00,4.04,13121.00,12247.00,7.14,51.37,670.18,39.90,16300.00,37.45,3871305346.00,2921944400.00,32.49,295046.52,238584.50,23.67,65.00,319600.00,333200.00,377216.00,13.21,73.10,71098026.00,103132964.00,0.45,85.10,85.50,22889228391.50,1.15,-0.25,12869886.00,373.83
4.00,Greenwich,90087.00,74346.00,21.17,128153.00,99086.00,29.34,167825.00,122719.00,36.76,61171.00,62236.00,-1.71,22083.00,23259.00,-5.06,47.83,1278.93,41.00,21518.00,11.37,31086586390.00,20114612730.00,54.55,1407715.73,864809.87,62.78,56.60,1327600.00,1286300.00,1587163.00,23.39,70.40,144334997.00,188754431.00,0.31,81.50,75.90,61333222273.17,7.10,0.00,36687098.00,599.75
43.00,Monroe,43842.00,34161.00,28.34,109727.00,85000.00,29.09,119357.00,92514.00,29.02,19479.00,19650.00,-0.87,6735.00,6476.00,4.00,26.13,745.46,38.10,17109.00,35.76,2146111708.00,2020275588.00,6.23,318650.59,311963.49,2.14,65.90,359000.00,422300.00,392148.00,-7.14,65.40,44018700.00,55295544.00,0.26,82.70,82.70,21584389669.63,6.60,-0.30,7666601.00,393.58
2.00,NewCanaan,105846.00,82049.00,29.00,168311.00,141788.00,18.71,437096.00,175331.00,149.30,19738.00,19984.00,-1.23,6857.00,6803.00,0.79,22.13,891.91,40.20,20603.00,16.67,8126991701.00,6560018770.00,23.89,1185210.98,964283.22,22.91,59.00,1276400.00,1367700.00,1596430.00,16.72,86.70,61433223.00,87110777.00,0.42,87.80,81.80,20841143060.07,5.90,-0.30,11931397.00,604.49
8.00,Ridgefield,75634.00,51795.00,46.03,145902.00,107351.00,35.91,169033.00,127981.00,32.08,24638.00,24210.00,1.77,8902.00,8439.00,5.49,34.43,715.60,39.40,17653.00,27.21,4711745970.00,4080023355.00,15.48,529290.72,483472.37,9.48,65.00,585100.00,706900.00,753548.00,6.60,80.90,65630947.00,89006153.00,0.36,88.50,85.60,24990402595.13,3.20,-0.50,15119109.00,613.65
